"","age","male","friend_cnt","avg_friend_age","avg_friend_male","friend_country_cnt","subscriber_friend_cnt","songsListened","lovedTracks","posts","playlists","shouts","delta1_friend_cnt","delta1_avg_friend_male","delta1_friend_country_cnt","delta1_subscriber_friend_cnt","delta1_songsListened","delta1_lovedTracks","delta1_posts","delta1_playlists","delta1_shouts","adopter","tenure","good_country","delta1_good_country","delta2_friend_cnt","delta2_avg_friend_male","delta2_friend_country_cnt","delta2_subscriber_friend_cnt","delta2_songsListened","delta2_lovedTracks","delta2_posts","delta2_playlists","delta2_shouts","delta2_good_country","delta1_avg_friend_age_2","subfriendcount_treat","tenure_treat","age_treat"
"21747",19,1,2,21,0.5,2,0,2706,2,2,0,1,0,0,0,0,16,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21748",39,1,2,25,1,1,0,1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"21749",23,1,7,22.66666667,0,2,0,13960,18,0,1,1,0,0,0,0,21,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"21750",20,1,16,19.71428571,0.5,1,0,41799,11,1,1,148,0,0,0,0,409,0,0,0,1,0,58,1,0,0,0,0,0,732,0,0,0,NA,0,NA,0,1,0
"21754",28,1,4,22.25,0.75,3,0,10950,149,0,1,1,0,0,0,0,154,5,0,0,0,0,52,1,0,0,0,0,0,369,0,0,0,NA,0,NA,0,1,1
"21772",29,1,3,31,1,1,0,7210,12,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,2,-0.25,0,0,40,0,0,0,NA,0,NA,0,0,0
"21773",21,0,58,21.27272727,0.62962963,7,0,19626,14,48,1,133,0,0,-1,0,92,0,0,0,0,0,57,0,0,-1,0.011363636,0,1,129,0,0,0,NA,0,NA,0,1,0
"21775",20,0,7,20.83333333,0.333333333,1,0,196,66,1,1,8,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"21778",21,1,30,22.07692308,0.814814815,6,0,10008,71,0,0,17,0,0.029100529,-1,0,472,2,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21780",20,1,8,23.5,0.571428571,4,0,13478,0,0,0,19,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"21781",31,1,4,33.66666667,1,1,0,1294,3,0,1,4,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"21785",17,1,2,19.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21787",36,1,3,NA,1,2,0,6043,35,1,1,4,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,101,0,0,0,NA,0,NA,0,0,0
"21788",16,1,1,19,1,1,0,30,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21790",24,1,13,23.33333333,0.363636364,6,0,81610,66,0,0,8,0,0,0,0,3536,6,0,0,0,0,44,1,0,0,0,0,0,2393,1,0,0,NA,0,NA,0,1,1
"21791",23,1,30,23.5,0.633333333,7,2,24803,98,0,1,54,1,0.012643678,0,1,1020,1,0,0,0,0,40,0,0,0,0,0,0,1302,3,0,0,NA,0,NA,1,1,1
"21796",36,1,0,NA,NA,0,0,89,4,0,0,1,0,NA,0,0,0,0,0,0,0,0,57,1,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,1,0
"21797",21,1,2,19,0.5,2,0,22,1,0,0,2,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21798",36,0,0,NA,NA,0,0,561,1,0,2,0,0,NA,0,0,0,0,0,0,0,0,41,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,1,0
"21799",23,0,4,23,0.75,1,0,1812,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"21806",20,0,3,23,0.666666667,2,0,241,1,0,0,7,0,0,0,0,0,0,0,0,0,0,63,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21807",21,0,47,21,0.571428571,4,0,2023,21,0,1,42,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0.009966777,0,0,0,0,0,0,NA,0,NA,0,0,0
"21808",24,1,1,26,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"21811",23,1,9,23.28571429,0.5,6,0,7164,4,0,1,3,0,0,0,0,33,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"21812",18,0,16,18.33333333,0.5625,3,0,6691,60,0,0,1,7,0.118055556,0,0,1881,28,0,0,0,0,10,0,0,23,-0.044642857,3,0,713,7,0,0,NA,0,NA,0,0,0
"21814",50,1,2,30.5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21816",28,0,10,24.125,0.333333333,7,0,67763,192,0,1,5,2,-0.166666667,1,0,150,0,0,0,0,0,50,0,0,0,0,0,0,315,0,0,0,NA,0,NA,0,1,1
"21817",26,0,18,27.92307692,0.5,6,0,7677,7,2,1,26,0,-0.033333333,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"21820",21,1,17,21.41666667,0.647058824,5,0,1928,2,3,0,16,1,0.022058824,0,0,54,0,0,0,0,0,25,1,0,1,0.018382353,0,0,1596,11,0,0,NA,0,NA,0,0,0
"21827",17,0,10,20.33333333,0.888888889,3,0,807,2,0,0,4,0,0,0,0,0,0,0,0,0,0,27,0,0,-1,-0.009090909,-1,0,0,0,0,0,NA,0,NA,0,0,0
"21833",18,0,3,18.66666667,0,1,0,1040,3,0,0,2,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21838",16,0,32,18.17241379,0.84375,4,2,2114,104,1,0,98,9,0.017663044,0,2,359,10,0,0,30,0,6,0,0,-2,-0.009191176,0,0,0,0,0,0,NA,0,NA,1,0,0
"21839",20,0,9,29.33333333,0.857142857,1,0,3590,91,0,0,2,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"21842",21,0,10,21.28571429,0.714285714,2,0,3151,134,0,0,10,0,0,-1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21843",20,0,2,20.5,0.5,1,0,28,0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21845",18,0,16,20.86666667,0.642857143,3,0,756,80,1,1,34,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21846",24,1,6,25.4,0,1,0,2608,60,0,1,14,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,6,2,0,0,NA,0,NA,0,1,1
"21847",16,0,3,18,0.333333333,1,0,3346,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21851",20,1,5,22.75,0.8,2,0,1052,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21857",13,1,2,20.5,1,1,0,1177,0,0,0,3,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21862",18,1,10,19.83333333,0.875,3,1,142,1,0,0,3,2,0.017857143,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,NA,0,NA,1,0,0
"21863",18,1,4,19,0.333333333,1,0,746,4,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21867",23,1,1,23,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"21868",21,1,0,NA,NA,0,0,2279,12,0,2,1,0,NA,0,0,582,1,0,0,0,0,27,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,0
"21871",25,1,4,19.66666667,0.25,1,0,2455,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"21884",18,1,13,17.55555556,0.461538462,1,0,5201,9,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1500,0,0,0,NA,0,NA,0,0,0
"21885",22,1,2,22.5,0,2,0,9442,1,0,1,1,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"21886",21,1,4,22.25,1,1,0,1809,16,0,0,1,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21888",30,1,2,25,0,2,0,195,0,0,1,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"21889",22,1,5,21.2,0.6,1,0,19,0,0,0,1,4,0.6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,18,0,0,0,NA,0,NA,0,0,1
"21892",25,1,6,22.16666667,0.6,1,0,6369,0,0,0,2,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"21893",23,1,0,NA,NA,0,0,658,35,0,1,1,0,NA,0,0,0,0,0,0,0,0,47,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,1,1
"21894",26,1,1,NA,NA,1,0,13222,9,0,0,2,0,NA,0,0,0,0,0,0,0,0,39,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,1
"21895",27,1,18,27.16666667,0.333333333,2,0,21583,0,0,0,7,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"21897",18,1,5,20,0.6,1,0,430,11,0,0,4,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21898",26,1,1,27,1,1,0,3176,1,0,0,1,0,0,0,0,192,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"21901",33,1,6,31.25,1,2,0,793,14,0,1,5,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"21904",20,1,76,21.13846154,0.708333333,4,0,23829,0,1,0,125,0,0,0,0,0,0,0,0,0,0,69,0,0,0,-0.004225352,0,0,0,0,0,0,NA,0,NA,0,0,0
"21910",40,1,4,33.5,0.75,3,0,2295,0,2,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21911",17,1,1,19,1,1,0,415,10,0,1,2,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"21912",21,0,1,22,1,1,0,105,21,0,1,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21915",18,0,2,18,0,1,0,103,8,0,1,2,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"21917",25,0,4,18,0.666666667,2,0,14656,7,0,1,1,0,0,0,0,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"21921",20,1,30,19.88,0.8,5,0,6186,29,0,1,25,7,-0.113043478,0,0,1592,15,0,0,6,0,17,0,0,2,-0.011842105,0,1,322,3,0,0,NA,0,NA,0,0,0
"21922",25,1,2,NA,1,2,0,236,0,0,0,7,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"21924",23,1,13,23.4,0.909090909,4,0,68505,6,24,1,23,0,0,0,0,0,0,0,0,0,0,57,0,0,1,0.007575758,0,0,0,0,0,0,NA,0,NA,0,1,1
"21925",26,1,10,22.25,0.555555556,1,0,46087,427,0,0,68,0,0,0,0,1613,0,0,0,0,0,39,0,0,0,0,0,0,434,0,0,0,NA,0,NA,0,0,1
"21936",18,1,2,17.5,1,1,0,6725,0,0,0,1,0,0,0,0,424,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21950",20,1,1,20,0,1,0,135,8,0,1,3,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"21951",18,1,15,19.18181818,0.428571429,1,0,6402,2,1,0,6,0,0,0,0,0,0,0,0,0,0,44,1,0,0,0,0,0,433,0,0,0,NA,0,NA,0,1,0
"21952",21,1,0,NA,NA,0,0,16319,34,0,1,0,0,NA,0,0,0,0,0,0,0,0,28,1,0,0,NA,0,0,178,0,0,0,NA,0,NA,0,0,0
"21954",17,1,10,17.14285714,0.555555556,1,0,11909,14,0,0,10,1,0,0,0,1266,1,0,0,0,0,32,0,0,1,0.036363636,0,0,3610,0,0,0,NA,0,NA,0,0,0
"21957",27,0,12,31.125,0.3,2,0,1155,0,0,0,2,0,0,0,0,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"21958",20,1,6,24.66666667,0.833333333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"21960",23,0,2,35,1,1,0,12161,21,1,1,2,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"21963",21,1,6,22.2,0.8,2,0,34311,0,2,1,4,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21964",21,0,2,22,1,1,0,4396,7,0,1,1,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21965",18,0,4,18,0.5,1,0,31,8,0,1,5,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21966",18,1,9,17.875,0.625,1,0,22551,228,0,0,0,0,0,0,0,1135,0,0,0,0,0,26,0,0,0,0,0,0,1480,0,0,0,NA,0,NA,0,0,0
"21967",20,0,2,20,0,1,0,356,7,0,1,7,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"21968",18,1,26,19.125,0.6,2,1,25708,21,0,0,33,3,-0.031578947,1,1,6152,21,0,0,1,0,15,0,0,3,-0.029177719,1,0,4167,5,0,0,NA,0,NA,1,0,0
"21969",16,0,9,16,0.125,3,0,2583,111,0,3,2,8,0.125,2,0,2453,58,0,3,0,0,10,0,0,0,0,0,0,124,0,0,0,NA,0,NA,0,0,0
"21971",23,0,1,38,1,1,0,3344,32,0,1,5,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"21974",27,1,6,27.6,0.6,1,0,53674,691,0,0,8,1,0.1,0,0,1829,18,0,0,0,0,67,1,0,0,0,0,0,501,0,0,0,NA,0,NA,0,0,1
"21978",27,1,5,21.66666667,0.75,1,0,13270,8,0,0,1,0,0,0,0,2,0,0,0,0,0,61,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"21979",44,1,6,34,0.5,3,1,4074,32,1,1,11,0,0,0,0,1059,0,0,0,0,0,64,1,0,0,0,0,0,0,0,0,0,NA,0,NA,1,0,0
"21984",22,1,2,17.5,1,1,0,9522,6,0,0,1,0,0,0,0,86,0,0,0,0,0,17,1,0,0,0,0,0,7,0,0,0,NA,0,NA,0,0,1
"21991",29,1,7,31,0.8,3,0,26612,2,0,1,7,0,0,0,0,510,0,0,0,0,0,56,1,0,0,0,0,0,15,0,0,0,NA,0,NA,0,1,0
"21992",20,1,13,19,1,2,0,17244,19,0,0,4,0,0,0,0,459,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"21998",23,1,0,NA,NA,0,0,1687,11,0,0,1,0,NA,0,0,0,0,0,0,0,0,24,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,1
"22007",24,1,12,26,0.545454546,1,0,31073,1,0,2,3,0,0,0,0,371,0,0,0,0,0,65,1,0,0,0,0,0,19,0,0,0,NA,0,NA,0,0,1
"22010",28,1,4,25.66666667,1,1,0,2703,0,0,1,0,0,0,0,0,0,0,0,0,0,0,71,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"22013",38,1,3,31.5,0.666666667,3,0,19619,69,0,1,0,0,0,0,0,3,0,0,0,0,0,92,0,0,0,0,0,0,8,0,0,0,NA,0,NA,0,0,0
"22017",18,0,92,22.23170732,0.842696629,24,2,55519,0,2,0,31,8,0.023419521,3,1,2680,0,0,0,13,0,29,0,0,0,-0.001644737,2,0,750,0,0,0,NA,0,NA,1,0,0
"22019",30,1,15,29.54545455,0.5,1,0,3120,0,0,0,4,1,-0.045454545,0,0,0,0,0,0,0,0,27,0,0,0,0,1,0,0,0,0,0,NA,0,NA,0,0,0
"22022",23,0,7,24.5,0.666666667,2,0,331,18,0,1,1,0,0,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,11,0,0,0,NA,0,NA,0,0,1
"22025",22,0,1,22,1,1,0,6141,132,0,0,3,0,0,0,0,353,1,0,0,0,0,44,1,0,0,0,0,0,1108,8,0,0,NA,0,NA,0,1,1
"22028",20,0,0,NA,NA,0,0,315,90,0,0,0,0,NA,0,0,0,0,0,0,0,0,16,1,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,0
"22030",21,0,21,22.15384615,0.5625,3,0,65393,266,0,0,18,0,-0.0375,0,0,5622,4,0,0,0,0,22,0,0,3,0.037267081,1,0,9058,1,0,0,NA,0,NA,0,0,0
"22031",32,0,2,26.5,1,1,0,4340,7,8,0,14,0,0,0,0,0,0,0,0,0,0,83,1,0,0,0,0,0,22,0,0,0,NA,0,NA,0,0,0
"22037",23,0,10,27.375,0.444444444,3,0,24761,141,2,1,7,0,0,0,0,1547,0,0,0,0,0,71,0,0,0,0,0,0,1378,0,0,0,NA,0,NA,0,0,1
"22039",20,0,8,21.2,0.5,3,0,169,8,0,1,4,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"22040",17,0,1,17,0,1,0,13633,7,0,0,2,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"22041",18,0,12,23.66666667,0.916666667,2,0,22586,45,0,1,19,0,0,0,0,1020,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"22046",21,1,2,20,1,1,0,97,7,0,0,1,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"22047",22,1,21,21.05,0.95,1,0,63072,400,4,0,94,0,0,0,0,2679,4,0,0,0,0,64,0,0,0,0,0,0,855,2,0,0,NA,0,NA,0,0,1
"22048",23,1,20,22,0.647058824,6,0,80061,4,0,0,6,1,0,0,0,882,0,0,0,0,0,68,0,0,0,0,0,0,367,0,0,0,NA,0,NA,0,0,1
"22051",18,1,16,18.71428571,0.642857143,4,0,16105,16,0,1,9,0,0,0,0,0,0,0,0,0,0,22,1,0,2,0.023809524,0,0,697,0,0,0,NA,0,NA,0,0,0
"22052",30,0,2,26,1,2,0,4122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"22055",23,1,2,NA,1,1,0,2961,21,0,1,1,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"22058",23,1,2,23,0,1,0,2201,0,0,1,8,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"22063",28,0,1,NA,1,1,0,1821,41,0,0,1,0,0,0,0,16,0,0,0,0,0,74,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"22067",29,1,1,43,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"22068",18,1,43,20.73333333,0.472222222,3,0,63805,15,3,0,1,2,0.001633987,0,0,2902,1,0,0,0,0,47,0,0,1,0.002079002,0,0,4044,1,0,0,NA,0,NA,0,1,0
"22070",24,0,1,22,0,1,0,741,4,0,0,3,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"22072",19,1,4,20.75,0.75,1,0,13798,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"22073",30,0,2,31,NA,2,0,3258,34,0,1,1,0,NA,0,0,0,0,0,0,0,0,59,1,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,1,0
"22085",35,1,5,35.5,0.6,2,0,2854,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"22087",27,0,1,NA,NA,0,0,3,0,0,0,2,0,NA,0,0,0,0,0,0,0,0,32,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,1
"22089",27,1,4,27,1,1,1,1142,3,0,0,2,0,0,0,1,455,0,0,0,0,0,8,1,0,0,0,0,0,349,0,0,0,NA,0,NA,1,0,1
"22094",24,1,7,26.16666667,1,1,0,54377,0,2,1,1,0,0,0,0,0,0,0,0,0,0,73,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"22100",22,1,3,21,0.666666667,1,0,10981,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"22106",51,1,1,30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"22110",26,1,6,21.83333333,0.333333333,1,0,1420,0,0,0,1,2,0.083333333,0,0,579,0,0,0,1,0,9,0,0,5,0.077922078,2,0,413,0,0,0,NA,0,NA,0,0,1
"22111",34,1,1,34,NA,1,0,4020,111,0,2,0,0,NA,0,0,1074,0,0,0,0,0,70,1,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,0
"22114",14,0,2,20,1,1,0,273,3,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"22117",27,1,2,NA,1,1,0,44719,457,1,1,2,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"22119",38,1,1,24,1,1,0,12499,16,0,1,2,0,0,0,0,335,0,0,0,0,0,35,1,0,0,0,0,0,170,0,0,0,NA,0,NA,0,0,0
"22122",30,1,1,18,1,1,0,781,5,0,1,3,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"22123",26,1,6,23.4,1,1,0,14111,0,1,0,4,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"22127",20,1,3,14.5,0.5,2,0,292,61,0,0,2,1,0,0,0,181,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"22133",33,0,22,32.54545455,1,6,3,8390,32,0,1,60,0,0,1,0,150,3,0,0,0,0,53,1,0,2,0,0,0,154,1,0,0,NA,0,NA,1,1,0
"22136",28,1,4,26.5,0.5,1,0,40290,44,3,1,0,0,0,0,0,3494,0,0,0,0,0,71,1,0,0,0,0,0,2312,0,0,0,NA,0,NA,0,0,1
"22142",31,1,2,28,1,1,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"22148",26,1,11,24.875,0.8,4,0,41283,0,0,0,13,0,0,0,0,1201,0,0,0,0,0,62,0,0,2,0.012820513,1,1,999,0,0,0,NA,0,NA,0,0,1
"22155",22,1,4,23,1,1,0,14721,63,0,0,6,0,0,0,0,399,2,0,0,0,0,34,0,0,12,-0.461538462,2,0,2646,9,0,0,NA,0,NA,0,0,1
"22156",20,1,4,19.5,0.75,3,0,7240,87,0,0,1,0,0,0,0,4409,8,0,0,0,0,25,0,0,0,0,0,0,3086,8,0,0,NA,0,NA,0,0,0
"22158",18,0,6,19.8,0.666666667,2,0,791,13,0,0,0,0,0,0,0,4,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"22160",34,1,1,30,1,1,0,17,6,0,0,1,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"22162",23,1,14,24.72727273,0.916666667,3,1,21324,43,0,1,3,1,0.007575758,0,1,157,0,0,0,0,0,58,0,0,0,0,0,0,87,1,0,0,NA,0,NA,1,1,1
"22164",36,1,0,NA,NA,0,0,9366,0,0,1,2,0,NA,0,0,90,0,0,0,0,0,58,0,0,0,NA,0,0,125,0,0,0,NA,0,NA,0,1,0
"22167",21,0,3,20.66666667,0.333333333,1,0,8,0,0,1,5,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0
"22171",16,0,6,18.25,0.666666667,4,0,31609,25,0,0,3,4,-0.333333333,2,0,1802,4,0,0,2,0,6,0,0,2,-0.066666667,0,0,4019,7,0,1,NA,0,NA,0,0,0
"22172",23,1,17,23.5,0.588235294,4,1,14189,59,0,1,40,0,0,0,0,46,0,0,0,0,0,36,1,0,0,0,-1,0,20,1,0,0,NA,0,NA,1,0,1
"22175",18,1,13,19.63636364,0.538461539,1,0,36,12,0,0,3,4,-0.128205128,0,0,4,0,0,0,0,0,7,0,0,1,-0.029239766,1,0,0,0,0,0,NA,0,NA,0,0,0
"22178",20,1,7,22.5,0.5,3,1,8591,19,0,0,1,0,0,0,1,399,0,0,0,0,0,27,0,0,0,0,0,0,1160,0,0,0,NA,0,NA,1,0,0
"22179",21,0,1,21,1,1,0,109,5,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"22184",24,1,8,23.4,0.625,1,0,8280,12,0,1,10,0,0,0,0,8,0,0,0,0,0,43,1,0,0,0,0,0,3,0,0,0,NA,0,NA,0,1,1
"22187",17,1,75,19.06779661,0.441176471,18,1,31900,44,7,0,53,28,0.084033613,2,0,10636,9,0,0,15,0,9,0,0,7,-0.004854369,1,0,11218,13,0,0,NA,0,NA,1,0,0
"22189",24,1,2,24,1,1,0,7666,15,0,1,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,1
"22197",38,1,27,33.15789474,0,10,1,281,58,0,3,25,0,0,0,1,0,0,0,0,0,0,30,0,0,-1,0,0,0,0,0,0,0,NA,0,NA,1,0,0
"22207",15,0,1,20,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0
